horizon,fitted,quarter,standard_error,ci_lower,ci_upper
11,2.8762680048909584,1988 Q3,0.7604183530448791,1.3858754197397318,4.366660590042185
11,2.1298059036820374,1988 Q4,0.6413103464134383,0.8728607217987927,3.3867510855652823
11,2.696899623059758,1989 Q1,0.7170673142368508,1.2914735126646655,4.102325733454851
11,2.0148514844065133,1989 Q2,0.9622836913358137,0.1288101064780609,3.900892862334966
11,0.8621385118673186,1989 Q3,0.7587174386205932,-0.6249203422715226,2.34919736600616
11,0.17476456487825687,1989 Q4,0.8454066555854944,-1.4822020323597696,1.8317311621162835
11,-0.21451849549834026,1990 Q1,0.8585816359062608,-1.8973075796620928,1.4682705886654122
11,-1.4250213997326133,1990 Q2,0.6667336791214835,-2.731795398090606,-0.11824740137462086
11,-1.7217430174907187,1990 Q3,1.0619870352485916,-3.8031993586264266,0.3597133236449892
11,-1.1437211765329864,1990 Q4,0.9284320089809396,-2.9634144762297954,0.6759721231638227
11,-0.7072506260867858,1991 Q1,0.8439201871644697,-2.3613037987554475,0.946802546581876
11,0.759209150044142,1991 Q2,0.9248145655199635,-1.0533940907530441,2.571812390841328
11,2.104247989783611,1991 Q3,0.8484856592996096,0.4412466561576538,3.767249323409568
11,-0.261331557715691,1991 Q4,0.860873200295888,-1.9486120255513673,1.4259489101199854
11,1.0663911990423776,1992 Q1,0.7266369784132082,-0.35779110848251894,2.490573506567274
11,1.8269072354716949,1992 Q2,0.684861443293026,0.48460347221724365,3.169210998726146
11,2.4865110059744073,1992 Q3,0.6764893332173889,1.1606162769428097,3.812405735006005
11,2.6650686236817367,1992 Q4,0.6712905643358601,1.3493632944218832,3.98077395294159
11,2.9679294086271586,1993 Q1,0.6234118397197331,1.7460646552406252,4.189794162013692
11,3.0826952270114094,1993 Q2,0.6301645091552662,1.8475954847317266,4.317794969291092
11,2.8826012853876675,1993 Q3,0.6738071541875101,1.5619635306547208,4.203239040120614
11,2.551822648824672,1993 Q4,0.5918396534452998,1.3918382434492176,3.711807054200126
11,3.5668774451671905,1994 Q1,0.659955073675127,2.273389269349464,4.860365620984917
11,4.0181033155894665,1994 Q2,0.6536652088665734,2.7369430482641306,5.2992635829148025
11,3.8810006985116177,1994 Q3,0.5700757367415342,2.7636727860380734,4.998328610985162
11,3.7228365740609464,1994 Q4,0.5955874657117027,2.555506591622525,4.890166556499368
11,3.2245846946686796,1995 Q1,0.5606952539368526,2.125642190649909,4.323527198687451
11,1.4140263818001122,1995 Q2,0.4677766585696029,0.49720097819520115,2.3308517854050232
11,0.6444781822340092,1995 Q3,0.43154552643831223,-0.20133550727446026,1.4902918717424787
11,0.4759872493141274,1995 Q4,0.40644975938633465,-0.32063964060805916,1.272614139236314
11,0.06076604365753481,1996 Q1,0.4275476988256442,-0.7772120477137056,0.8987441350287751
11,0.09296862363893404,1996 Q2,0.369434969585963,-0.6311106113792035,0.8170478586570715
11,0.13250280622706218,1996 Q3,0.3949931857641297,-0.641669612009371,0.9066752244634952
11,0.7388569196054061,1996 Q4,0.3895128362929331,-0.02457421104478863,1.5022880502556009
11,0.9243957990718068,1997 Q1,0.44121014637623224,0.05963980256074641,1.789151795582867
11,2.137060776105087,1997 Q2,0.6840318689497183,0.796382948686017,3.4777386035241564
11,2.467836277247966,1997 Q3,0.6609571037015267,1.1723841586670682,3.763288395828864
11,1.5869627485768092,1997 Q4,0.6757587562859528,0.262499924018762,2.9114255731348564
11,0.5132361810018252,1998 Q1,0.5091839578041714,-0.484746037799913,1.5112183998035635
11,0.285429867610561,1998 Q2,0.43014803121599154,-0.5576447815935931,1.128504516814715
11,0.2001186463554332,1998 Q3,0.44123479737933885,-0.6646856652338989,1.0649229579447654
11,0.16368004986095605,1998 Q4,0.45618041934639075,-0.7304171425103485,1.0577772422322607
11,0.5159336533901073,1999 Q1,0.5013504109868372,-0.4666950957784476,1.4985624025586621
11,-1.3306288715434633,1999 Q2,0.5429994928785551,-2.3948883212089447,-0.26636942187798196
11,-0.6480976185739531,1999 Q3,0.5688306808691851,-1.7629852663789527,0.4667900292310465
11,-0.9952984725751435,1999 Q4,0.4820845652620392,-1.9401668579913893,-0.05043008715889763
11,-0.025514501076390972,2000 Q1,0.4894982437792743,-0.984913429379376,0.933884427226594
11,1.029101106167225,2000 Q2,0.52301524761832,0.004010057470019923,2.05419215486443
11,0.4205480465040695,2000 Q3,0.5045739961890717,-0.5683988135619613,1.4094949065701003
11,-0.5764918198704753,2000 Q4,0.4871794824802791,-1.5313460595386843,0.3783624197977338
11,-1.9108976222763576,2001 Q1,0.6519801011671782,-3.1887551392008078,-0.6330401053519077
11,-0.3560707370165249,2001 Q2,0.7806055320314819,-1.8860294659309567,1.1738879918979066
11,-1.333443943002392,2001 Q3,0.7041730484948079,-2.713597756935992,0.04670987093120793
11,-1.4037859487269064,2001 Q4,0.7352257465529661,-2.8448019324772935,0.037230035023480657
11,0.05433769902317192,2002 Q1,0.8451366878107373,-1.602099771099344,1.7107751691456878
11,-0.5147632711765294,2002 Q2,0.7357037668520516,-1.9567161574970031,0.9271896151439444
11,1.3032157613312758,2002 Q3,0.7547493322202017,-0.17606574717597545,2.782497269838527
11,1.0367931874977965,2002 Q4,0.5459877479637977,-0.033323134511378916,2.1069095095069716
11,0.6398559006703217,2003 Q1,0.5064736263764396,-0.3528141661468951,1.6325259674875385
11,-0.16007293097475833,2003 Q2,0.5036058092167727,-1.1471221794447821,0.8269763174952656
11,-0.91400645027808,2003 Q3,0.5816489801169722,-2.0540175029517993,0.22600460239563924
11,-0.9521859567215192,2003 Q4,0.6504851092905779,-2.2271133434106525,0.3227414299676141
11,-0.364532243486536,2004 Q1,0.5300238688390475,-1.4033599373576502,0.6742954503845783
11,-0.33741913819989633,2004 Q2,0.5430472623558251,-1.4017722143203872,0.7269339379205946
11,-0.5818112110838903,2004 Q3,0.4991389288388355,-1.5601055348899084,0.3964831127221279
11,-0.7191636775694688,2004 Q4,0.5254987198310112,-1.7491222423601547,0.3107948872212172
11,-0.038914186243438065,2005 Q1,0.6124379482271071,-1.239270507534174,1.1614421350472977
11,0.35861446811474706,2005 Q2,0.5617187379991315,-0.7423340278048413,1.4595629640343355
11,1.6458650363964737,2005 Q3,0.7049435273888189,0.2642011115797638,3.027528961213184
11,0.7799537619674215,2005 Q4,0.6384521827834609,-0.4713895221391453,2.0312970460739885
11,1.995534926062228,2006 Q1,0.5709032166775455,0.8765851827161721,3.1144846694082835
11,0.1399975830108007,2006 Q2,0.4938052332185103,-0.8278428894748812,1.1078380554964826
11,0.4711407465816868,2006 Q3,0.48191079369281964,-0.4733870528173517,1.4156685459807252
11,-0.5071474881594397,2006 Q4,0.6860561596819901,-1.8517928525080003,0.8374978761891209
11,0.16002610283317564,2007 Q1,0.6380165238736849,-1.0904633055006863,1.4105155111670373
11,-0.46177919091970754,2007 Q2,0.614033596661503,-1.6652629256738471,0.7417045438344321
11,-0.5243169888946074,2007 Q3,0.6330873167955563,-1.7651453288829972,0.7165113510937823
11,0.7349366331472506,2007 Q4,0.49586367192851627,-0.23693830507442615,1.7068115713689274
11,-0.13481738447966363,2008 Q1,0.6697000298587791,-1.447405323448269,1.1777705544889419
11,-0.24050951341724383,2008 Q2,0.9979756481065314,-2.1965058411540634,1.7154868143195758
11,0.8309187185275271,2008 Q3,0.9604175512896571,-1.0514650921203506,2.7133025291754045
11,1.2879519287052763,2008 Q4,1.3031879671802193,-1.2662495520539192,3.842153409464472
11,-1.643034768947794,2009 Q1,1.2174999298497418,-4.02929078263333,0.7432212447377418
11,0.26109062789243953,2009 Q2,1.2913585763870539,-2.2699256729531014,2.7921069287379807
11,-2.426787008241387,2009 Q3,1.0863569491268377,-4.5560075028848,-0.29756651359797415
11,-2.374190761146097,2009 Q4,0.9323338744143023,-4.201531576564818,-0.546849945727375
11,-1.5266239161945996,2010 Q1,0.5763644849668379,-2.656277548697579,-0.39697028369162024
11,-0.5064741044010092,2010 Q2,0.5499778639114,-1.584410909961624,0.5714627011596057
11,-1.4559838391050608,2010 Q3,0.6008284103426553,-2.633585884265118,-0.27838179394500373
11,-0.982562107833457,2010 Q4,0.6263116681044848,-2.2101104204154507,0.24498620474853672
11,-0.997039041716431,2011 Q1,0.645881498683345,-2.2629435174165415,0.26886543398367935
11,-1.5050299727914584,2011 Q2,0.6069966516735317,-2.6947215488079843,-0.31533839677493236
11,-2.362813849107602,2011 Q3,0.6692218279193792,-3.6744645294976466,-1.0511631687175576
11,-1.7647582881018895,2011 Q4,0.5738934437470568,-2.889568768809784,-0.639947807393995
11,-1.9822747763695436,2012 Q1,0.7382313244651751,-3.4291815845805895,-0.5353679681584977
11,-2.5945124247556497,2012 Q2,0.6872998590005411,-3.9415953949761673,-1.247429454535132
