horizon,quarter,ffr_hat,standard_error,ci_lower,ci_upper,model
11,1984 Q2,6.73632133230762,1.4684486179856202,3.838623695119597,9.634018969495642,Long
11,1984 Q3,6.954902382927989,1.1297256376723774,4.725608643359065,9.18419612249691,Long
11,1984 Q4,6.488396886013437,0.8420647970737934,4.826745846301104,8.150047925725769,Long
11,1985 Q1,6.03045743181664,1.3107819334372015,3.443884319983781,8.6170305436495,Long
11,1985 Q2,6.073643056815131,1.019676209536776,4.061510451777336,8.085775661852924,Long
11,1985 Q3,6.013877466168912,1.381261910339581,3.288225832937566,8.739529099400258,Long
11,1985 Q4,5.567545025388515,0.930819942991938,3.730752973954516,7.404337076822516,Long
11,1986 Q1,4.352449104757393,0.9644953745671212,2.449205141209127,6.255693068305659,Long
11,1986 Q2,4.310193318297738,0.8827799989497284,2.5681987494836713,6.052187887111805,Long
11,1986 Q3,4.452567993016006,0.7797670078926879,2.913849519211059,5.991286466820952,Long
11,1986 Q4,5.036781082227634,0.9129544802850964,3.235243045431137,6.838319119024131,Long
11,1987 Q1,4.450036244227423,0.7489551135317304,2.9721190489919036,5.927953439462943,Long
11,1987 Q2,3.764587929292744,0.902344777382384,1.983986076885614,5.545189781699875,Long
11,1987 Q3,3.7321719874996733,0.8626564681754609,2.029887291310544,5.434456683688802,Long
11,1987 Q4,3.991940007793509,1.0008593096797604,2.0169388934916146,5.966941122095404,Long
11,1988 Q1,4.1776276543206805,1.123992937777775,1.9596462826043584,6.395609026037002,Long
11,1988 Q2,5.503566289531044,0.7361194766894917,4.050977726223129,6.956154852838957,Long
11,1988 Q3,6.023247280858127,0.721055442145132,4.600384658772174,7.44610990294408,Long
11,1988 Q4,6.888580016844072,0.4687428111764259,5.963607280475504,7.81355275321264,Long
11,1989 Q1,6.748574775063169,0.7168997095538556,5.333912682681173,8.163236867445164,Long
11,1989 Q2,4.957973294942983,0.7514217787780209,3.475188615773491,6.440757974112476,Long
11,1989 Q3,5.4132020419167874,0.7922882954449253,3.8497752433463193,6.976628840487255,Long
11,1989 Q4,4.922061304555017,0.8711477156750175,3.20302078353492,6.641101825575113,Long
11,1990 Q1,5.860853633842678,1.2288097629434964,3.436036651468827,8.28567061621653,Long
11,1990 Q2,6.869200588151347,1.2498219871168943,4.402920069639035,9.33548110666366,Long
11,1990 Q3,6.743095067305311,1.2270117082717908,4.32182619598548,9.164363938625142,Long
11,1990 Q4,6.30848680869478,0.9512899580501633,4.431301165315568,8.185672452073991,Long
11,1991 Q1,4.88421522510825,0.6606071319988078,3.5806355819005717,6.187794868315926,Long
11,1991 Q2,5.3333056946489314,0.6200146049195501,4.10982750570011,6.5567838835977525,Long
11,1991 Q3,5.829868561760745,0.4956098422016992,4.851878967078818,6.807858156442672,Long
11,1991 Q4,6.223980014904539,0.7961284075521892,4.652975502246246,7.79498452756283,Long
11,1992 Q1,4.499808040424433,0.8901646040523156,2.743241390234657,6.256374690614209,Long
11,1992 Q2,4.531490109461808,0.9280040515155946,2.7002546719791853,6.362725546944432,Long
11,1992 Q3,3.74082336262539,1.0399531539186986,1.6886781530570465,5.792968572193733,Long
11,1992 Q4,4.11392423165881,1.2368737209390348,1.6731945971540936,6.554653866163527,Long
11,1993 Q1,3.7262296624471274,1.380784394129826,1.0015203145472389,6.450939010347016,Long
11,1993 Q2,3.727264095626661,1.0111296822786988,1.7319963992677048,5.7225317919856185,Long
11,1993 Q3,3.7710770002878293,1.133806496969284,1.5337304788935782,6.008423521682081,Long
11,1993 Q4,3.861782625203022,1.192702623680362,1.5082160569375844,6.21534919346846,Long
11,1994 Q1,3.156361059577657,1.0070712086883231,1.169101971207691,5.143620147947623,Long
11,1994 Q2,3.8000911667499553,1.267546874524842,1.298834031601311,6.301348301898599,Long
11,1994 Q3,4.228132908001621,1.140013550737011,1.9785379736793673,6.477727842323874,Long
11,1994 Q4,4.7568995215901735,0.9659954956695976,2.850695360918971,6.663103682261376,Long
11,1995 Q1,4.235871750655276,0.7012391649958257,2.852112695946557,5.619630805363995,Long
11,1995 Q2,3.0001828663844483,0.5991994872598756,1.8177792622195126,4.182586470549384,Long
11,1995 Q3,3.0881159956467314,0.5655750755667339,1.9720636257855946,4.2041683655078685,Long
11,1995 Q4,3.489156859240202,0.5725585961325611,2.3593238702991752,4.618989848181229,Long
11,1996 Q1,3.591132153467879,0.8074103837700368,1.9978648558344376,5.184399451101321,Long
11,1996 Q2,4.42960091243175,0.840763525409584,2.7705176791653066,6.088684145698194,Long
11,1996 Q3,4.369408418535769,0.7416787984474054,2.90584961539449,5.8329672216770465,Long
11,1996 Q4,4.377353638622152,0.6380600576721541,3.118266259700488,5.636441017543816,Long
11,1997 Q1,4.453074359115375,0.5912113417369875,3.2864338059170706,5.619714912313679,Long
11,1997 Q2,5.913254417778834,0.7769216488145247,4.3801507065040575,7.4463581290536105,Long
11,1997 Q3,5.884457462020288,0.904022460976901,4.10054502745983,7.668369896580746,Long
11,1997 Q4,5.282488667016882,0.9012646946964792,3.504018147642846,7.060959186390919,Long
11,1998 Q1,4.502659959186314,0.688325196358378,3.1443841089623286,5.860935809410298,Long
11,1998 Q2,4.294165605741384,0.8261503218237382,2.6639186865167215,5.924412524966046,Long
11,1998 Q3,4.071913872954406,0.8667451633639021,2.3615609323326043,5.782266813576207,Long
11,1998 Q4,4.454549603326524,0.9008299796660728,2.6769369094841604,6.2321622971688875,Long
11,1999 Q1,4.269181190837454,0.936427032054276,2.4213246400887094,6.117037741586198,Long
11,1999 Q2,3.7454053626746697,1.2112008959865042,1.3553360531508427,6.135474672198496,Long
11,1999 Q3,3.5425895684742428,1.0170340822822632,1.5356706875046795,5.549508449443806,Long
11,1999 Q4,3.460024105394217,0.7540111097192638,1.9721298854083562,4.947918325380078,Long
11,2000 Q1,3.386082035226753,0.7950722605274534,1.8171616232313077,4.955002447222198,Long
11,2000 Q2,4.170845359362476,0.7892897355220271,2.613335635381562,5.72835508334339,Long
11,2000 Q3,3.9285558769119673,0.865395326138687,2.2208665774214844,5.636245176402451,Long
11,2000 Q4,3.4204590844364207,0.6202733729816124,2.196470267064627,4.644447901808213,Long
11,2001 Q1,2.7176536861565026,0.5755532063915825,1.581911416519111,3.8533959557938937,Long
11,2001 Q2,3.05728585800605,0.8474493482587347,1.3850094541816758,4.7295622618304245,Long
11,2001 Q3,3.2569648682608716,0.8350197347843753,1.6092158882459997,4.904713848275744,Long
11,2001 Q4,3.3096013743814705,0.9404529948126398,1.4538003694452035,5.165402379317737,Long
11,2002 Q1,3.2784861956547413,0.6387378718091903,2.018061282413329,4.538911108896153,Long
11,2002 Q2,2.5987403208581936,0.7376074100283931,1.1432156106074316,4.054265031108956,Long
11,2002 Q3,2.756796641884361,0.65962368202949,1.4551576458450493,4.058435637923672,Long
11,2002 Q4,2.321603454490895,0.9855251644052624,0.37686129238248167,4.266345616599308,Long
11,2003 Q1,2.1315343626257626,0.555554639866749,1.035255372980865,3.22781335227066,Long
11,2003 Q2,1.8350076830731457,0.6749379346133487,0.503148989194885,3.1668663769514063,Long
11,2003 Q3,2.416233790342253,0.6196454598871656,1.1934840372917122,3.6389835433927944,Long
11,2003 Q4,2.722355282779356,0.6247674672730944,1.4894982447219853,3.9552123208367265,Long
11,2004 Q1,2.738446586638765,0.7974174702897365,1.164898359475908,4.311994813801622,Long
11,2004 Q2,2.7087550469886326,0.7929724694041151,1.1439781642268028,4.273531929750463,Long
11,2004 Q3,2.5287432439621047,1.0702694364728695,0.4167747492957421,4.640711738628467,Long
11,2004 Q4,2.128941420842367,0.9836882881802148,0.1878239765701344,4.0700588651146,Long
